# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
0,2940.51420988683,-29855.541800165898,-1.0602486446102446e-08,-1.5617502077392526e-06,1.375185248243795e-07
1,8708.540317633871,-28708.2100719662,-3.2311714113282583e-08,-1.563216536795283e-06,1.3455251920043272e-07
2,14141.9021047799,-26457.637930450597,-5.5477842250234806e-08,-1.5659935508721738e-06,1.2715907284113292e-07
3,19031.7985249093,-23190.3136008821,-8.075836924546294e-08,-1.569773582609214e-06,1.115943345491048e-07
4,23190.3136008821,-19031.7985249093,-1.0630860268065727e-07,-1.5741113595944118e-06,8.079086108056514e-08
5,26457.637930450597,-14141.9021047799,-1.1741850489057145e-07,-1.5784615775698828e-06,2.0391859628337537e-08
6,28708.2100719662,-8708.54031763386,-9.457649279258171e-08,-1.5822488879702797e-06,-3.5326857987165436e-08
7,29855.541800165898,-2940.51420988681,-4.642685364687617e-08,-1.5849646026382804e-06,-3.998171513361299e-08
8,29855.541800165898,2940.51420988682,-3.5544414707383635e-09,-1.5862657454084983e-06,-3.1483771019415897e-08
9,28708.2100719662,8708.540317633871,4.15725945369537e-08,-1.586046886485268e-06,-1.9224918978928824e-08
10,26457.637930450597,14141.9021047799,9.07130522127629e-08,-1.584464509254634e-06,1.1207864290526145e-08
11,23190.3136008821,19031.7985249093,1.201116142556738e-07,-1.581905074449701e-06,7.128303575411862e-08
12,19031.7985249093,23190.3136008821,1.188313621791191e-07,-1.5789024351427546e-06,1.2923492190631656e-07
13,14141.9021047799,26457.637930450597,9.016220712574156e-08,-1.5760296520548418e-06,1.688131494466093e-07
14,8708.540317633871,28708.2100719662,4.389267896601233e-08,-1.5737979848764878e-06,1.903027337969516e-07
15,2940.51420988681,29855.541800165898,1.861073242605248e-08,-1.5725834221948104e-06,1.9752402526588224e-07
16,-2940.51420988681,29855.541800165898,-1.8611492493883215e-08,-1.5725834554773609e-06,1.9752571904563303e-07
17,-8708.540317633871,28708.2100719662,-4.389288423898752e-08,-1.5737980832840262e-06,1.9030021204586692e-07
18,-14141.9021047799,26457.637930450597,-9.016227695911254e-08,-1.5760298109213255e-06,1.6881512494453443e-07
19,-19031.7985249093,23190.3136008821,-1.1882894614723725e-07,-1.578902645517337e-06,1.2923322721483745e-07
20,-23190.3136008821,19031.7985249093,-1.2011119877107234e-07,-1.5819053213511718e-06,7.128441837642864e-08
21,-26457.637930450597,14141.9021047799,-9.071313153850724e-08,-1.5844647697107958e-06,1.1207462352290212e-08
22,-28708.2100719662,8708.540317633871,-4.157443454033808e-08,-1.5860471290612004e-06,-1.9229073338813953e-08
23,-29855.541800165898,2940.51420988681,3.55552034352838e-09,-1.5862659343008854e-06,-3.148983298450857e-08
24,-29855.541800165898,-2940.51420988681,4.643011678507968e-08,-1.5849647079667687e-06,-3.998519400177539e-08
25,-28708.2100719662,-8708.54031763386,9.457849047602609e-08,-1.582248898006843e-06,-3.5328556721481134e-08
26,-26457.637930450597,-14141.9021047799,1.1742539349738019e-07,-1.5784615042249069e-06,2.0388621628196886e-08
27,-23190.3136008821,-19031.7985249093,1.0630782915364785e-07,-1.5741112329185845e-06,8.079332962056462e-08
28,-19031.7985249093,-23190.3136008821,8.075762299350471e-08,-1.569773439188828e-06,1.1159594183655359e-07
29,-14141.9021047799,-26457.637930450597,5.547690001326722e-08,-1.565993423856776e-06,1.271599550838341e-07
30,-8708.540317633871,-28708.2100719662,3.2310771200093e-08,-1.5632164508055115e-06,1.3455298278718543e-07
31,-2940.51420988681,-29855.541800165898,1.0601552801719122e-08,-1.561750177463014e-06,1.3751866382813087e-07
32,2.1440270314032197e-12,-35014.618629566896,-4.3567689561383325e-13,-1.4590167585092571e-06,1.5715626500065295e-07
33,6831.01322371415,-34341.822550811994,-1.496699883433615e-08,-1.4598650981690642e-06,1.5630709582352596e-07
34,13399.5144401173,-32349.289490545303,-3.099410858932637e-08,-1.4623263587438434e-06,1.531899239104419e-07
35,19453.079831121,-29113.5913768475,-4.931389665624444e-08,-1.4661480655152173e-06,1.4568982088077417e-07
36,24759.0742736276,-24759.0742736276,-7.101224003065998e-08,-1.470909623857817e-06,1.2870333274917e-07
37,29113.5913768475,-19453.079831121,-9.344273310239383e-08,-1.4760397647603795e-06,8.993181101555193e-08
38,32349.289490545303,-13399.5144401173,-9.943733549706255e-08,-1.4808710290371698e-06,1.4489324871580795e-08
