# fixed mirror figure, mode=median, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
0,2940.51420988683,-29855.541800165898,5.270710853057192e-09,-1.5508370297512219e-06,1.279823642564992e-07
1,8708.540317633871,-28708.2100719662,1.0788305005798013e-08,-1.5499897245752181e-06,1.3278863897488965e-07
2,14141.9021047799,-26457.637930450597,4.067620573665839e-09,-1.549153770794154e-06,1.1119234698153883e-07
3,19031.7985249093,-23190.3136008821,9.16039391251663e-09,-1.5477413418803675e-06,7.858880820177731e-08
4,23190.3136008821,-19031.7985249093,9.258574018148717e-09,-1.5469896835709946e-06,3.7935836072203964e-08
5,26457.637930450597,-14141.9021047799,-1.4776557453367361e-09,-1.5466814256771666e-06,6.858373988890458e-09
6,28708.2100719662,-8708.54031763386,-7.369534576455944e-09,-1.5465759027411563e-06,-3.1260186932112898e-09
7,29855.541800165898,-2940.51420988681,-6.926038386721539e-09,-1.5463909439856876e-06,-1.6633429015588502e-08
8,29855.541800165898,2940.51420988682,-5.721566032540713e-09,-1.5466333146540705e-06,-9.19149897342397e-09
9,28708.2100719662,8708.540317633871,-3.671380205181609e-09,-1.5476350782684872e-06,-3.223723499273274e-09
10,26457.637930450597,14141.9021047799,-5.417062431149003e-09,-1.550623970939028e-06,1.274266181063537e-08
11,23190.3136008821,19031.7985249093,9.360279865018298e-09,-1.5530782693435418e-06,6.507530116186287e-08
12,19031.7985249093,23190.3136008821,2.0175109612147183e-08,-1.5574894571950589e-06,1.1582491679455254e-07
13,14141.9021047799,26457.637930450597,2.421892658307674e-08,-1.5612243724359281e-06,2.014202172283584e-07
14,8708.540317633871,28708.2100719662,1.975424110738814e-08,-1.564196967714119e-06,2.1977884995671258e-07
15,2940.51420988681,29855.541800165898,2.5981829841171253e-08,-1.5655386356745999e-06,2.1485289977153153e-07
16,-2940.51420988681,29855.541800165898,-2.6031210157742632e-08,-1.5655808867524719e-06,2.1480528675531667e-07
17,-8708.540317633871,28708.2100719662,-1.977907720797385e-08,-1.5641918150178079e-06,2.195565240895158e-07
18,-14141.9021047799,26457.637930450597,-2.4270606004102362e-08,-1.5612348146762777e-06,2.0148333975171137e-07
19,-19031.7985249093,23190.3136008821,-2.0173697601622193e-08,-1.557492778324507e-06,1.162948877622787e-07
20,-23190.3136008821,19031.7985249093,-9.493436521034921e-09,-1.5530754213288693e-06,6.480541700470148e-08
21,-26457.637930450597,14141.9021047799,5.231870771419472e-09,-1.5506190949383578e-06,1.2760596413468793e-08
22,-28708.2100719662,8708.540317633871,3.7964817551330646e-09,-1.547639965660569e-06,-3.41825184166956e-09
23,-29855.541800165898,2940.51420988681,5.687573985435548e-09,-1.5466297357521686e-06,-9.13112335486999e-09
24,-29855.541800165898,-2940.51420988681,6.966986266502414e-09,-1.546389896230238e-06,-1.653593949258885e-08
25,-28708.2100719662,-8708.54031763386,7.445957001058064e-09,-1.546574080669917e-06,-3.0988600097375935e-09
26,-26457.637930450597,-14141.9021047799,1.5245649136840223e-09,-1.5466830703030721e-06,6.929234700426921e-09
27,-23190.3136008821,-19031.7985249093,-9.299842511659139e-09,-1.5469857293026275e-06,3.783446444953632e-08
28,-19031.7985249093,-23190.3136008821,-9.147417730139664e-09,-1.5477339434141985e-06,7.864372455211264e-08
29,-14141.9021047799,-26457.637930450597,-4.072166762867085e-09,-1.5491625722619815e-06,1.1096318063754294e-07
30,-8708.540317633871,-28708.2100719662,-1.0798150165006271e-08,-1.5499989338109189e-06,1.3268930182191136e-07
31,-2940.51420988681,-29855.541800165898,-5.248364599581781e-09,-1.5508212663368043e-06,1.2803759625961672e-07
32,2.1440270314032197e-12,-35014.618629566896,-4.6488413785233554e-12,-1.4495946868043008e-06,1.422033041700655e-07
33,6831.01322371415,-34341.822550811994,1.0274891639876943e-08,-1.449085870247883e-06,1.5475548439884388e-07
34,13399.5144401173,-32349.289490545303,1.1637634250884663e-08,-1.4475292351312522e-06,1.452704627892484e-07
35,19453.079831121,-29113.5913768475,9.44898260783216e-09,-1.4459130064081328e-06,1.0758627631883804e-07
36,24759.0742736276,-24759.0742736276,7.883448287836697e-09,-1.4446541939190431e-06,7.476317032615028e-08
37,29113.5913768475,-19453.079831121,3.717786069876994e-09,-1.4435353179067572e-06,3.064996601897298e-08
38,32349.289490545303,-13399.5144401173,-3.4589442159767633e-09,-1.4429231472872894e-06,5.712129350768256e-09
39,34341.822550811994,-6831.01322371414,2.120299928519556e-10,-1.4424032918490897e-06,-2.35423301764783e-09
40,35014.618629566896,0.0,1.207596516084621e-09,-1.4433593922624181e-06,-4.887082094916098e-09
41,34341.822550811994,6831.01322371414,1.3634162312188812e-09,-1.4439833396427488e-06,3.4325790392293225e-10
42,32349.289490545303,13399.5144401173,-8.113616133841595e-10,-1.4461899452505014e-06,1.6139117155571928e-08
43,29113.5913768475,19453.079831121,1.890844689261687e-08,-1.4496809491709532e-06,4.95256177344297e-08
44,24759.0742736276,24759.0742736276,2.7680070608185342e-08,-1.453664485312851e-06,1.0521130471795475e-07
45,19453.079831121,29113.5913768475,2.7342727806399173e-08,-1.4586474715871813e-06,2.24627280896591e-07
46,13399.5144401173,32349.289490545303,2.0787034086813575e-08,-1.4621158041963718e-06,2.3638197208496107e-07
47,6831.01322371414,34341.822550811994,2.6471619800156855e-08,-1.4636065563637605e-06,2.437040897425047e-07
48,2.1440270314032197e-12,35014.618629566896,2.665880711287809e-11,-1.4639597900784362e-06,2.3688980661648036e-07
49,-6831.013223714131,34341.822550811994,-2.6553216935379548e-08,-1.4636267267652327e-06,2.4396098982736475e-07
50,-13399.5144401172,32349.289490545303,-2.0845711100460937e-08,-1.4620981424400378e-06,2.3652520066150768e-07
51,-19453.079831121,29113.5913768475,-2.742427488388272e-08,-1.4586805634165842e-06,2.2472675380577117e-07
52,-24759.0742736276,24759.0742736276,-2.784271060533424e-08,-1.4536587001181948e-06,1.0562848738250145e-07
53,-29113.5913768475,19453.079831121,-1.9163737872974166e-08,-1.4496931579960067e-06,4.964599468063928e-08
54,-32349.289490545303,13399.5144401173,8.578475854051452e-10,-1.44618693340414e-06,1.5763790320639595e-08
55,-34341.822550811994,6831.01322371415,-1.2323115971722177e-09,-1.4439819938645537e-06,3.19182090855841e-10
56,-35014.618629566896,4.288054062806439e-12,-9.650836955505137e-10,-1.443360567383075e-06,-4.912448448017879e-09
57,-34341.822550811994,-6831.01322371414,-2.1043310068543047e-10,-1.4424110148248022e-06,-2.2297005333452048e-09
58,-32349.289490545303,-13399.5144401172,3.48655798106825e-09,-1.4429183890701874e-06,5.810601914830147e-09
59,-29113.5913768475,-19453.079831121,-3.7127001926642876e-09,-1.4435353037775018e-06,3.06145598154489e-08
60,-24759.0742736276,-24759.0742736276,-7.89097649782006e-09,-1.4446740320264733e-06,7.484382184673379e-08
61,-19453.079831121,-29113.5913768475,-9.444387249598095e-09,-1.4459110563007855e-06,1.079502221040357e-07
62,-13399.5144401172,-32349.289490545303,-1.1587808024247828e-08,-1.4475507842412755e-06,1.454274276890693e-07
63,-6831.01322371415,-34341.822550811994,-1.0160848701703844e-08,-1.4490813805152565e-06,1.5464490111495842e-07
64,3946.5776840866197,-40070.2756744661,6.621650968994462e-09,-1.3496865740477864e-06,1.6642565433715876e-07
65,11688.0682851266,-38530.3974519658,8.081900894020198e-09,-1.3489785073895833e-06,1.534648982731876e-07
66,18980.3929767134,-35509.817663482405,6.742576136344766e-09,-1.3469687917760757e-06,1.4639864797811688e-07
67,25543.3118105322,-31124.6154963265,5.938779283553816e-09,-1.3452524444429029e-06,9.887651408950482e-08
