X (m),Y (m)
2.94051421,-29.8555418
8.708540318,-28.70821007
14.1419021,-26.45763793
19.03179852,-23.1903136
23.1903136,-19.03179852
26.45763793,-14.1419021
28.70821007,-8.708540318
29.8555418,-2.94051421
29.8555418,2.94051421
28.70821007,8.708540318
26.45763793,14.1419021
23.1903136,19.03179852
19.03179852,23.1903136
14.1419021,26.45763793
8.708540318,28.70821007
2.94051421,29.8555418
-2.94051421,29.8555418
-8.708540318,28.70821007
-14.1419021,26.45763793
-19.03179852,2.32E+01
-23.1903136,19.03179852
-26.45763793,14.1419021
-28.70821007,8.708540318
-29.8555418,2.94051421
-29.8555418,-2.94051421
-28.70821007,-8.708540318
-2.65E+01,-14.1419021
-23.1903136,-19.03179852
-19.03179852,-23.1903136
-14.1419021,-26.45763793
-8.708540318,-28.70821007
-2.94051421,-29.8555418
2.14E-15,-35.01461863
6.831013224,-34.34182255
13.39951444,-32.34928949
19.45307983,-29.11359138
24.75907427,-24.75907427
29.11359138,-19.45307983
32.34928949,-13.39951444
3.43E+01,-6.831013224
35.01461863,0
34.34182255,6.831013224
32.34928949,13.39951444
29.11359138,19.45307983
24.75907427,24.75907427
19.45307983,29.11359138
13.39951444,32.34928949
6.831013224,34.34182255
2.14E-15,35.01461863
-6.831013224,34.34182255
-13.39951444,32.34928949
-19.45307983,29.11359138
-24.75907427,24.75907427
-29.11359138,19.45307983
-32.34928949,13.39951444
-34.34182255,6.831013224
-35.01461863,4.29E-15
-34.34182255,-6.831013224
-32.34928949,-13.39951444
-29.11359138,-19.45307983
-24.75907427,-24.75907427
-19.45307983,-29.11359138
-13.39951444,-32.34928949
-6.831013224,-34.34182255
3.946577684,-40.07027567
11.68806829,-38.53039745
18.98039298,-35.50981766
25.54331181,-31.1246155
31.1246155,-25.54331181
35.50981766,-18.98039298
38.53039745,-11.68806829
40.07027567,-3.95E+00
40.07027567,3.946577684
38.53039745,11.68806829
35.50981766,18.98039298
31.1246155,25.54331181
25.54331181,31.1246155
18.98039298,35.50981766
1.17E+01,38.53039745
3.946577684,40.07027567
-3.946577684,40.07027567
-11.68806829,38.53039745
-18.98039298,35.50981766
-25.54331181,31.1246155
-31.1246155,25.54331181
-35.50981766,18.98039298
-38.53039745,11.68806829
-40.07027567,3.946577684
-40.07027567,-3.946577684
-38.53039745,-11.68806829
