X (m),Y (m)
-4.816773582714200330e+01,6.158945253768710160e+01
5.202749311172180313e+01,-7.295882179931659550e+01
7.624879886532130513e+01,4.707409467457100050e+01
-6.934756454716860219e+01,-5.675178419407600217e+01
-2.940514209886810004e+00,-2.985554180016589854e+01
1.966375983148359907e+01,8.742531822718420642e+01
-8.906172730461639730e+01,9.892342864703540073e+00
8.210181759181649852e+01,-1.656723243286560177e+01
2.940514209886810004e+00,2.985554180016589854e+01
-1.577739905112339969e+01,-8.820954255077110417e+01
-4.007027567446610306e+01,3.946577684086599813e+00
4.007027567446610306e+01,3.946577684086610027e+00
3.615261863004469944e+01,-3.615261863004479892e+01
3.774202551177390319e+01,4.918636526936379738e+01
-1.966375983148359907e+01,8.742531822718420642e+01
-3.099902828373269870e+01,-5.369189197269000147e+01
-6.989117963135869616e+01,-2.067468134660040135e+01
1.599377035289989912e+01,-7.110849983613080383e+01
-6.063913952451009948e+01,3.039192568277389839e+01
3.796286076435169834e-15,6.199805656746570293e+01
7.664333846374300663e+01,1.546577213518579974e+01
7.409192381158449336e+01,-5.040075935671060137e+01
-3.039261820363000055e+01,3.465613900276480308e+01
-3.832668365506530250e+01,-2.560907128060539861e+01
4.874935711990740117e+01,7.518876178146850009e+01
